Source,Song,ORGmaker,Filename,,
Donkey Kong Country 2,Stickerbush Symphony,StarlightChaos,12 - Stickerbush Symphony (DKC2).org,,
Donkey Kong Land,Freezing Fun,2dbro,measure 1.org,,
Donkey Kong Land,Jungle Groove,2dbro,Donkey Kong Land - Jungle Groove.org,,
Donkey Kong Land,Pirate Ship,2dbro,Donkey Kong Land - Pirate Ship.org,,
DOOM,#,2dbro,D_RUNNINbass.org,,
Doom,At Doom's Gate,2dbro,Doom - At Doom's Gate.org,,
DOOM,At Doom's Gate,2dbro,m four ay four nes.org,,
DOOM,E1M1 / At Doom's Gate,Shade of a Wave,E1M1.org,,
DOOM,E1M1 / At Doom's Gate,ShinigamiMachine,E1M1.org,,
DOOM,Imps,Dredged Crusader,the_imps_org.org,,
DOOM / Cave Story,Last Cave / At Doom's Gate,2dbro,las t gay.org,,
Doom II,Into Sandy's City,2dbro,(Incomplete) Doom II - Into Sandy's City.org,,
Doom II,The Demon's Dead,2dbro,Doom II - The Demon's Dead.org,,
Dr. Mario,Fever,Jazz Jackalope,feverpitch.org,,
Drake,Hotline Bling,2dbro,hotline_blingFART.org,,
Drake,Hotline Bling,2dbro,instrument numbers.org,,
Drake,Hotline Bling,2dbro,The End.org,,
Drax,Disco Zax,passing_by,disco_zax.org,,
Dream Master,Away to Slumberland,2dbro,Dream Master - Away to Slumberland.org,,
Dream Master,Flower Garden,2dbro,Dream Master - Flower Garden.org,,
Dream Master,Mushroom Forest,2dbro,Dream Master - Mushroom Forest.org,,
Duck Game,dmoffice01,2dbro,dmoffice01.org,,
Duck Game,Dr duck,2dbro,(Incomplete) Duck Game - Dr Duck.org,,
Duck Game,Duck Select,2dbro,Duck Game - Duck Select.org,,
Ducktales,The Moon,mLurker,Ducktales - The Moon.org,,
Dynamite Headdy,Hustle Maruyama Part 1,Yellow,HustleMaruyama_Part1Only.org,,
Dynamite Headdy,That's The Way The Boss Is Killed,yellow,ThatsTheWayTheBossIsKilled.org,,
Dynamite Headdy,Tonight's a Jazzy Night,Yellow,TonightsAJazzyNight.org,,
Dynamite Headdy,You're Izayoi,Yellow,ThemeofYourMom.org,,
Earthworm Jim 2,Internal Distress,Jazz Jackalope,id.org,,
Earthworm Jim 2,Lorenzen's Soil,Jazz Jackalope,Lorenzen's Soil.org,,
Earthworm Jim 2,"Queen Pulsating, Bloated, Festering, Sweaty, Pus-Fulled, Malformed, Slug-for-a-Butt",Jazz Jackalope,qpbfspfmsb.org,,
Earthworm Jim 2,Subterranean,Jazz Jackalope,ISO 9000.org,,
Earthworm Jim 2,Subterranean ,Jazz Jackalope,subterranean.org,,
Ellie Goulding,Lights,SuperJaws100,Lights.org,,
Elmo in Grouchland,Huxley,2dbro,he sees it takes it then he makes it mine.org,,
Epik High,Fly,rde,Fly EpikHigh.org,,
Eric Andre,We'll Be Right Back,2dbro,we'll be right back.org,,
Escaped Chasm,Temmie's Room,mLurker,Escaped Chasm - temmie_secret_Toby (original).org,,
Escaped Chasm,Temmie's Room,mLurker,Escaped Chasm - temmie_secret_Toby (secret).org,,
Etrian Odyssey 3,Battlefield The First Campaign,Ikuyo,EO3BF.org,,
Eversion,Phase 4,GIRakaCHEEZER,phase4.org,,
Eversion,Phase 4,GIRakaCHEEZER,phase401.org,,
Eversion,Phase 4,GIRakaCHEEZER,PHASE402.ORG,,
F-Zero,Big Blue,TinFoilHats,F-Zero.org,,
Fantasy Zone,Plaleaf,2dbro,Fantasy Zone - Plaleaf.org,,
Fez,Home,2dbro,(Incomplete) Fez - Home.org,,
Final Fantasy ,Opening / Title,2dbro,da.org,,
Final Fantasy 10,Assault,leafbarrett,assault.org,,
Final Fantasy 10,Mount Gagazet,leafbarrett,gagazet cs.org,,
Final Fantasy 10,Mount Gagazet,leafbarrett,gagazet.org,,
Final Fantasy 10,To Zanarkand,leafbarrett,to zanarkand.org,,
Final Fantasy 11 / Dissidia Final Fantasy,Battle in the Dungeon 2,Adolf K,BattleInTheDungeon.org,,
Final Fantasy 4,Boss,Evil_Nazgul0616,FFIVboss.org,,
Final Fantasy 5,Beyond the Deep Blue Sea,StarlightChaos,Beyond the Deep Blue Sea (FFV).org,,
Final Fantasy 5,Clash on the Big Bridge,SuperJaws100,Clash on the Big Bridge.org,,
Final Fantasy 6,Boss / Decisive Battle,Evil_Nazgul0616,DecisiveBattle.org,,
Final Fantasy 6,Dancing Mad,mLurker,FFVI - Dancing Mad (Hell).org,,
Final Fantasy 6,Dancing Mad,mLurker,FFVI - Dancing Mad (Purgatory).org,,
Final Fantasy 6,Esper World,TLincoln,Esper World.org,,
Final Fantasy 7,Birth of a God,zeroflafi,Birth of a god.org,,
Final Fantasy 7,Gold Saucer,GIRakaCHEEZER,goldsaucer.org,,
Final Fantasy 7,Gold Saucer,GIRakaCHEEZER,GOLDSAUCER.org,,
Final Fantasy 7,Mako Reactor,GIRakaCHEEZER,REACTOR.ORG,,
Final Fantasy 7,Theme of Cid,zeroflafi,CidHighwind.org,,
Final Fantasy Legend 3,Talon,Adolf K,FFL3TylonMachine.org,,
Final Ninja / Super Puzzle Platformer,Medley,RSK,Press Start Ninja.org,,
Fire Emblem,Together We Ride,StarlightChaos,together we ride [super smash bros. melee + gba arrange]_1.org,,
Fire Emblem: Mystery of the Emblem,Off to War,Tpcool,FE3 - OfftoWar.org,,
Five Nights at Freddy's: Security Breach,Gator Golf,StarlightChaos,gatorgolf.org,,
Fleetwood Mac,The Chain,rde,TheChain FleetwoodMac.org,,
Fleetwood Mac,The Chain,rde,TheChainNoVocal FleetwoodMac.org,,
Florence and the Machine,Hurricane Drunk,Tinned_Duck,Hurricane Drunk.org,,
Fool's Garden,Ordinary Man,2dbro,ordinary man.org,,
Forbidden Forest,Victory,GBAura,ForbiddenForest-Victory.org,,
Forbidden Forest,Victory,GBAura,ForbiddenForest-VictoryNODRUM.org,,
Fortnite,Default Dance,2dbro,fortnite.org,,
Fortnite,Default Dance,mLurker,Fortnite - Default Dance.org,,
Foster the People,Pumped up Kicks,2dbro,pumped up blargoes.org,,
Frank Zappa,Black Napkins,2dbro,Frank_Zappa_-_Black_Napkins_Remix.org,,
Frank Zappa,Peaches En Regalia,2dbro,(Incomplete) Frank Zappa - Peaches En Regalia.org,,
Frank Zappa,Peaches en Regalia,2dbro,peaches en regalia mk 1.org,,
Friendship is Witchcraft,Gypsy Bard,rde,GypsyBard FiW.org,,
Friendship is Witchcraft,Orphanage Song,cultr1,Orphanage Song.org,,
Frozen,Let it Go,apis,Let It Go - test1.org,,
Frozen,Let it Go,apis,Let It Go - test2.org,,
Frozen,Let it Go,apis,Let It Go - test3.org,,
Frozen,Let it Go,apis,Let It Go - test4 (complete).org,,
Game Boy Camera,Credits,2dbro,Game Boy Camera - Credits.org,,
Geometry Dash,Deadlocked,Dredged Crusader,DEADLOCKED.org,,
George Michael,Careless Whisper,2dbro,sex music.org,,
Georges Bizet,Toreador March,2dbro,Toreador Rock.org,,
Ghost Trick Phantom Detective,Dead Afterimage,Crystalwarrior,Dead_Afterimage.org,,
Give Up Robot 2,Space Blues,RSK,Give Up Robot 2 - Space Blues.org,,
Goemon's Great Adventure,Edo Castle,Zenix,EdoCastle.org,,
Goldfinger,Superman,2dbro,Goldfinger - Superman.org,,
Gorillaz,Amarillo,2dbro,(Incomplete) Gorillaz - Amarillo.org,,
Gorillaz,DARE,2dbro,(Incomplete) Gorillaz - DARE.org,,
Gorillaz,Dirty Harry,Dredged Crusader,Dirty Hermit.org,,
Gorillaz,Every Planet We Reach is Dead,2dbro,Gorillaz - Every Planet We Reach is Dead (Abridged).org,,
Gorillaz,Feel Good Inc,Dredged Crusader,feel good inc.org,,
Gorillaz,Feel Good Inc.,rde,FEELGOOD.org,,
Gorillaz,Kids with Guns,2dbro,Gorillaz - Kids With Guns.org,,
Gorillaz,Kids with Guns,2dbro,kindergarteners with firearms.org,,
Gorillaz,Melancholy Hill,2dbro,Gorillaz - Melancholy Hill.org,,
Gorillaz,Melancholy Hill,2dbro,melancholy hill 2018.org,,
Gorillaz,On Melancholy Hill,2dbro,On Melancholy Hill.org,,
Gorillaz,Slow Country,2dbro,Gorillaz - Slow Country (Abridged).org,,
Gorillaz,Starshine,2dbro,Gorillaz - Starshine (Abridged).org,,
Gorillaz,Tranz,Dredged Crusader,Tranz.org,,
Gradius,Aircraft Carrier / Boss,Evil_Nazgul0616,AircraftCarrier.org,,
Gradius,Challenger 1985 / Stage 1,Evil_Nazgul0616,Challenger1985.org,,
Great Circus Mystery,The Great Circus Ringmaster,Jazz Jackalope,greatcircusringmaster.org,,
Great Circus Mystery,Turtle mid boss,Jazz Jackalope,turtlemidboss.org,,
Guardian Rock,Intro,RSK,Guardian Rock intro.org,,
Guilty Gear XX,Holy Order (Be Just or Be Dead),rde,HolyOrders(BeJustOrBeDead) GuiltyGearXX.org,,
Gundam Wing,Codename Heero Yuy,Mosaic,Codename_Heero_Yuy.org,,
Guns and Roses,Sweet Child of Mine,2dbro,tasty loathe that i own.org,,
Gunstar Heroes,Stage Clear 1,brianbdm,Gunstar Heroes- Stage Clear 1.org,,
Guxt,Stage 1,Raymundo,guxt_stage01_v.org,,
Guxt,Stage 2,Raymundo,guxt_stage02.org,,
Guxt,Zombie 2 / Extra Boss,Fluff8836,zombie 2 (guxt extra boss).org,,
Guxy,Stage 2,Stoud,Stage2_Guxt.org,,
Haddaway,What is Love,2dbro,Haddaway - What is Love.org,,
Halo,Theme,HaydenStudios,Halo theme.org,,
Happy Birthday,Happy Birthday,Tpcool,MISC - HappyBirthday.org,,
Headcase,Level 1,2dbro,(Incomplete) Headcase - Level 1.org,,
Henry Stickmin,Distraction Dance,StarlightChaos,distracted.org,,
HOME,Resonance,2dbro,HOME - Resonance.org,,
HOME,Resonance,2dbro,ocean man 6.org,,
HOME,Resonance,StarlightChaos,Resonance.org,,
Hotline Miami 2: Wrong Number,Dust,Ikuyo,DustE.org,,
Huey Lewis & The News,It's Hip to Be Square,2dbro,its hip bees.org,,
Hylics,Bathroom,2dbro,bathroom.org,,
Hylics,Bathroom,2dbro,hylics - bathroom but not really.org,,
I Wanna Be The Guy,New Journey,Volley,IWTBTG.org,,
iamthekidyouknowwhatimean,Run,2dbro,iamthekidyouknowwhatimean - run.org,,
Ice Climbers NES,Level Music,2dbro,Ice Climbers NES - Level Music.org,,
Ikachan,Ikachan,GIRakaCHEEZER,ikachan.org,,
Ikachan,Mizuno,StarlightChaos,03 - mizuno_1.org,,
Ikachan,"Swim, Ikachan!",HaydenStudios,"Swim, Ikachan!.org",,
In Flames,Worlds Within the Margin,Mike1108,Worlds within the margin demo.org,,
Inabakumor,Secret Elementary School Student,mLurker,inabakumori_-_Secret_Elementary_School_Student_1st_verse_only.org,,
Infernax,Castle Cleared,rde,CastleCleared Infernax.org,,
Initial D,Running in the 90s,2dbro,Initial D - Running in the 90s.org,,
Ironsword,Shop / Game Over,2dbro,the over shop.org,,
Ironsword,Title,2dbro,ironsword title.org,,
Ironsword,Title,2dbro,main.org,,
Ironsword NES,Shop & Game Over,2dbro,Ironsword NES - Shop & Game Over.org,,
Ironsword NES,Stage 1,2dbro,(Incomplete) Ironsword NES - Stage 1.org,,
Iruna Online,Dikkit Sector,rde,dikkitSector IrunaOnline.org,,
Iruna Online / Toram Online,Dikkit Sector,rde,DikkitSectorToram ToramOnline.org,,
Jack Stauber,Cheeseburger Family,2dbro,(Incomplete) Jack Stauber - Cheeseburger Family .org,,
Jack Stauber,Cheeseburger Family,mLurker,"J. Stauber - Cheeseburger Family (short, originally by 2dbro).org",,
Jack Stauber,Dead Weight,2dbro,(Incomplete) Jack Stauber - Dead Weight.org,,
Jack Stauber,Gettin' My Mom On,2dbro,(Incomplete) Jack Stauber - Gettin' My Mom On.org,,
Jasper Byrne,Miami,2dbro,Jasper Byrne - Miami (Abridged).org,,
Jasper Byrne,Miami,2dbro,miami.org,,
Jean Jacques Perrey,Brazilian Flower,GIRakaCHEEZER,brazilflower.org,,
Jeff Beal,Monk Theme,SuperJaws100,Monk Theme.org,,
Joji,SLOW DANCING IN THE DARK,mLurker,Joji - SLOW DANCING IN THE DARK.org,,
JoJo's Bizarre Adventure SNES,Beginning of the Adventure,NatnatGaming101,JJBA_SNES.org,,
Jontron,Theme,2dbro,Jontron.org,,
Journey to Silius,Stage 1,2dbro,Journey to Silius - Stage 1.org,,
Journey to Silius,Stage 2,2dbro,(Incomplete) Journey to Silius - Stage 2.org,,
Journey to Silius,Stage 2,2dbro,stage 2.org,,
Judas Priest,Bloodstone,2dbro,backup.org,,
Judas Priest,Bloodstone,2dbro,bloodstone.org,,
Judas Priest,Bloodstone,2dbro,the boss fight with your undoing.org,,
Jurassic Park (SNES),Elevator,rde,Elevator JurassicPark.org,,
Justin Bieber,Baby,apis,Justin Bieber - Baby.org,,
Kaeru no Tame ni Kane wa Naru,The Prince's Adventure,Yellow,TheFrogForWhomTheBellTolls.org,,
Kanon,Hidamari no Machi,rde,HidaMariNoMachi Kanon.org,,
Kanye West,Dark Fantasy,rde,THEREDCRYSTALISREAL.org,,
Katrina and the Waves,Walking on Sunshine,rde,WalkingOnSunshine KatrinaAndTheWaves,,
Kero Blaster,#,2dbro,kerogr.org,,
Kero Blaster,Damemoji,2dbro,renga.org,,
Kero Blaster,It's my Blaster,2dbro,Kero Blaster - It's My Blaster.org,,
Kero Blaster,Relaxation,SuperJaws100,Relaxation.org,,
Kero Blaster,SHIFT-JIS,zxin,Damemoji_Shift-JIS.org,,
Kero Blaster,SHIFT-JIS,"zxin, mLurker",KB - SHIFT-JIS (Originally by zxin).org,,
Kero Blaster,Time Table,2dbro,clockwork.org,,
Kero Blaster,Time Table,2dbro,Kero Blaster - Time Table.org,,
Kero Blaster,Time Table,2dbro,Time Table.org,,
Kero Blaster,Train Station,2dbro,Kero Blaster - Train Station.org,,
Kero Blaster,Zombeat,mLurker,KB - Zombeat.org,,
Kero Blaster,Zombeat,SuperJaws100,Zombeat.org,,
Kero Blaster,Zombeat,Wedge of Cheese,Boss 2.org,,
Kero Kero Bonito,Flamingo,2dbro,Kero Kero Bonito - Flamingo (Abridged).org,,
Keyboard Cat,Keyboard Cat,SuperJaws100,Keyboard Cat.org,,
Kid Icarus,Sky World,Tpcool,KI - SkyWorld.org,,
Kid Icarus,Stage 1,2dbro,Kid Icarus - Stage 1.org,,
Kill la Kill,Ad la Lib,TLincoln,Ad la Lib.org,,
King Gizzard and the Lizard Wizard,Crumbling Castle,2dbro,bubliung castle.org,,
King Gizzard and the Lizard Wizard,Mars for the Rich,2dbro,mars for the rich kgatlw.org,,
King Gizzard and the Lizard Wizard,Rattlesnake,2dbro,King Gizzard and The Lizard Wizard - Rattlesnake.org,,
King Kizard and the Lizard Wizard,Mars for the Rich,2dbro,(Incomplete) King Gizzard and The Lizard Wizard - Mars For The Rich.org,,
Kingdom Hearts HD 2.5 ReMIX,The Other Promise,CookedChef,The Other Promise.org,,
Kirby,Death,2dbro,youd ied.org,,
Kirby 64: The Crystal Shards,Boss,Evil_Nazgul0616,K64Boss.org,,
Kirby 64: The Crystal Shards,File Select,GIRakaCHEEZER,CrystalShards.org,,
Kirby 64: The Crystal Shards,Miracle Matter,GIRakaCHEEZER,Miraclematter.org,,
Kirby 64: The Crystal Shards,Miracle Matter,GIRakaCHEEZER,MIRACLEMATTER01.org,,
Kirby 64: The Crystal Shards,Ripple Star,Tpcool,K64 - RippleStar.org,,
Kirby Air Ride,Light,GIRakaCHEEZER,LIGHT.org,,
Kirby Air Ride,Light,GIRakaCHEEZER / Wedge of Cheese ?,Light.org,,
Kirby Planet Robobot,Dark Castle,Zenix,Dark Castle.org,,
Kirby Super Star,Gourmet Race,Jazz Jackalope,gr.org,,
Kirby Super Star,Marshmallow Castle,StarlightChaos,Marshmallow_Castle_Kirby_Super_Starswing_ver._.org,,
Kirby Super Star,Meta Knight's Revenge Ending,2dbro,revenge.org,,
Kirby Super Star,Milky Way Wishes Intro,StarlightChaos,13 - Milky Way Wishes Intro (Kirby Super Star).org,,
Kirby Super Star,Save Hut,StarlightChaos,1 - Save Hut (Kirby Super Star) - Copy.org,,
Kirby Super Star,Save Hut,StarlightChaos,1 - Save Hut (Kirby Super Star)(alt).org,,
Kirby Super Star Ultra,Grape Garden,rde,Grape Garden KirbySuperStarUltra.org,,
Kirby Super Star Ultra,Helper to Hero Rest Point,Evil_Nazgul0616,HelpertoHero.org,,
Kirby Super Star Ultra,Masked Dedede,Evil_Nazgul0616,MaskedDedede.org,,
Kirby Super Star Ultra,Masked Dedede,Uncredited,MaskedDedede.org,,
Kirby Super Star Ultra,Save,"Starlightchaos, 2dbro",ksssavealtalt.org,,
Kirby Superstar Ultra,Masked Dedede,mLurker,KSSU - Masked Dedede.org,,
Kirby's Adventure,Forest Area,2dbro / safu,Kirby's Adventure - Forest Area (safu fix).org,,
Kirby's Adventure,Grape Garden Map,2dbro,Kirbys_Adventure_-_Grape_Garden_Map.org,,
Kirby's Adventure,Orange Ocean,StarlightChaos,Orangeocean.org,,
Kirby's Adventure,Orange Ocean,StarlightChaos,Orangeoceangba.org,,
Kirby's Adventure,Rainbow Resort,2dbro,Kirby's Adventure - Rainbow Resort.org,,
Kirby's Adventure,Rainbow Resort,2dbro,rainbow_resort.org,,
Kirby's Adventure,Rainbow Resort,GIRakaCHEEZER,RainbowResort.org,,
Kirby's Adventure,Starry Sky,2dbro,Kirby's Adventure - Starry Sky.org,,
Kirby's Adventure,World 7 Map,Tpcool,KA - World7.org,,
Kirby's Dream Land,Dedede,VinylCheese,Dedede.org,,
Kirby's Dream Land,Green Greens,2dbro,Kirby's Dream Land - Green Greens.org,,
Kirby's Dream Land,Green Greens,SuperJaws100,Green Greens.org,,
Kirby's Dream Land 2,Dark Matter,Evil_Nazgul0616,DarkMatterPhase2.org,,
Kirby's Dream Land 3,Cloudy Park,2dbro,(Incomplete) Kirby's Dream Land 3 - Cloudy Park.org,,
Kirby's Dream Land 3,Ripple Field 1,StarlightChaos,Ripplefield1.org,,
Kirby's Dreamlan,Dedede's Theme,StarlightChaos,14 - DeDeDe.org,,
Kirby's Dreamland,Green Greens,mLurker,Kirby's Dream Land (GB) - Green Greens.org,,
Kitsune^2,Avast Your Ass,hate9,Avast Curly's Ass.org,,
Klaatu,Calling Occupants of Interplanetary Craft,2dbro,Klaatu - Calling Occupants of Interplanetary Craft.org,,
Knuckles' Chaotix,Evening Star,StarlightChaos,03 - Evening Star (12bt).org,,
Kyuss,Demon Cleaner,2dbro,demon cleaner kyuss.org,,
Kyuss,Demon Cleaner,2dbro,Kyuss - Demon Cleaner.org,,
Kyuss,Space Cadet,2dbro,Kyuss - Space Cadet.org,,
Kyuss,Space Cadet,2dbro,spaceman.org,,
La Mulana,Curse of Iron Pipe,Wedge of Cheese,Curse of the Iron Pipe,,
La Mulana,Mr. Explorer,Yellow,IHateCrypticPuzzles.org,,
Law and Order SVU,Theme,SuperJaws100,Law and Order.org,,
Led Zeppelin,Stairway to Heaven,2dbro,walkway to the upper realm.org,,
Led Zeppelin,The Ocean,2dbro,the ocean led zeppelin.org,,
Lemon Demon,As Your Father I Expressly Forbid it,Dredged Crusader,As Your Father I Expressly Forbid It..org,,
Lemon Demon,Cabinet Man,Dredged Crusader,Cabinet man.org,,
Lemon Demon,Soft Fuzzy Man,Dredged Crusader,Soft fuzzy man.org,,
Lemon Demon,Two Trucks,Dredged Crusader,Two_Trucks_part_1.org,Split ORG,
Lemon Demon,Two Trucks,Dredged Crusader,Two_Trucks_part_2.org,Split ORG,
Les Miserables,Castle on a Cloud,SuperJaws100,castleonacloud.org,,
LISA the Joyful,666 Kill Chop Deluxe,2dbro,(Incomplete) LISA The Joyful - 666 Kill Chop Deluxe.org,,
LISA the Joyful,Brokentooth March,2dbro,brokentooth cs compat.org,,
LISA the Joyful,He's My Brad,2dbro,He's My Brad.org,,
LISA the Joyful,Land of Hints,2dbro,LISA the Joyful - Land of Hints (Intro).org,,
LISA the Painful,Blood Simmer,2dbro,LISA - Blood Simmer.org,,
LISA the Painful,Boy Oh Boy,2dbro,(Incomplete) LISA - Boy Oh Boy.org,,
LISA the Painful,Brokentooth March,2dbro,LISA - Brokentooth March.org,,
LISA the Painful,Forever Turbo Heat Dance,2dbro,forever turbo heat dance.org,,
LISA the Painful,God's Call,2dbro,god's call silly.org,,
LISA the Painful,God's Call,2dbro,god's call.org,,
LISA the Painful,God's Call,2dbro,LISA - God's Call.org,,
LISA the Painful,Goodbye Baby,2dbro,(Incomplete) LISA - Goodbye Baby.org,,
LISA the Painful,"My Lord, My Wally",2dbro,"My Lord, My Wally, My Head (chapter 2 title).org",,
LISA the Painful,Ode to the Oblivious,2dbro,(Incomplete) LISA - Ode to the Oblivious.org,,
LISA the Painful,Salvation,2dbro,Salvation.org,,
LISA the Painful,Shardy's Shanty,2dbro,(Incomplete) LISA - Shardy's Shanty.org,,
LISA the Painful,Summer Love,2dbro,LISA - Summer Love (Abridged).org,,
LISA the Painful,Summer Love,2dbro,summer love lisa.org,,
LISA the Painful,Summer Love,2dbro,summer love.org,,
Little Nemo,Flower Garden,2dbro,flower garden.org,,
Little Nemo,Mushroom Forest,2dbro,mushroom forest.org,,
Little Nemo,Title,2dbro,littlenemo Fanfare.org,,
Live-a-Live,A Jealous Kiss,Jazz Jackalope,ajealouskiss.org,,
Live-a-Live,Exaggerated Ego,Jazz Jackalope,exaggeratedego.org,,
Live-a-Live,Megalomania,Nadav,Megalomania.org,,
Live-a-Live,Tin Plate King,Jazz Jackalope,tinplateking.org,,
LocoRoco,LocoRoco,SuperJaws100,LocoRoco.org,,
Lord of the Rings,In Dreams,HaydenStudios,In Dreams.org,,
Lufia & the Fortress of Doom,Pulifia Flowers,2dbro,Lufia & the Fortress of Doom - Pulifia Flowers.org,,
Lufia II,Pulifia Flowers,2dbro,lufia.org,,
Luis Fonsi,Despacito,2dbro,despacenis.org,,
Luis Fonsi,Despacito,2dbro,despacitno.org,,
M.O.O.N.,Dust,2dbro,dust in the wind.org,,
M.O.O.N.,Dust,2dbro,M.O.O.N. - Dust.org,,
Mac DeMarco,Chamber of Reflection,2dbro,Chamber of Reflection (REDBONE REPLACEMENT).org,,
Mac DeMarco,Chamber of Reflection,2dbro,Mac DeMarco - Chamber of Reflection.org,,
Mac DeMarco,Eatin' Like a Kid,2dbro,eatin like a kid.org,,
Mac DeMarco,Frog Hollow,2dbro,FROG HOLLOW.org,,
Mac DeMarco,Frog Hollow,2DBro,Mac_DeMarco_-_Frog_Hollow.org,,
Mac DeMarco,Passing Out Pieces,2dbro,Passing Out Pieces.org,,
Macintosh Plus / Diana Ross,whatever she sampled It's Your Move for,2dbro,its all in your head.org,,
Macintosh Plus / Diana Ross,whatever she sampled It's Your Move for,2dbro,its in your head.org,,
Macintosh Plus / Diana Ross,whatever she sampled It's Your Move for,2dbro,mack in tush plus.org,,
Maneskin,Zitte e Buoni,rde,Maneskin.org,,
Maniacs of Noise,Happy H Christmas,StarlightChaos,happy h christmas.org,,
MapleStory,Ellinia / When the Morning Comes,rde,WhenTheMorningComes MapleStory.org,,
MapleStory,Ellinia Tree Dungeon / Missing You,rde,MissingYou MapleStory.org,,
MapleStory,Wherever You Are / Ludibrium Tower,rde,WhereverYouAreShort MapleStory.org,,
Mappy,Main Theme,StarlightChaos,1 - Level Theme (Mappy).org,,
Mareux,The Perfect Girl,rde,ThePerfectGirl Mareux.org,,
Mario and Luigi Super Star Saga,Battle,StarlightChaos,mlssbattle.org,,
Mario and Luigi Super Star Saga,Beanbean Fields,StarlightChaos,10 - Beanbean Fields (Mario & Luigi Superstar Saga).org,,
Mario and Luigi Super Star Saga,Boss Battle,StarlightChaos,-Mlurker_ORG_Comp_IV-_Boss_Battle_-_Mario__Luigi_RPG_1.org,,
Mario and Luigi Super Star Saga,Boss Battle,StarlightChaos,Boss Theme (Mario & Luigi Superstar Saga).org,,
Mario and Luigi Super Star Saga,Cackletta Final,StarlightChaos,finale (MLSS).org,,
Mario and Luigi Super Star Saga,Cackletta's Theme,StarlightChaos,Cackletta's Theme (Mario & Luigi - Superstar Saga).org,,
Mario and Luigi Super Star Saga,Gwarhar Lagoon,StarlightChaos,8 - Gwarhar Lagoon (MLSS).org,,
Mario and Luigi Super Star Saga,Popple Battle,otemoto-dansei-ningen,Request_1.org,,
Mario and Luigi Super Star Saga,Popple Battle,StarlightChaos,8 - Popple Battle (Mario & Luigi - Superstar Saga).org,,
Mario and Luigi Super Star Saga,Teehee Valley,StarlightChaos,3 - Teehee Valley (M&L - Superstar Saga).org,,
Mario Bros Arcade / GBA,Bonus Results,StarlightChaos,Battle_Results_-_Mario_Bros._VS.org,,
Mario Bros Arcade / GBA,Coin Sound,StarlightChaos,coin.org,,
Mario Bros Arcade / GBA,Firefly Sound,StarlightChaos,firefly_1.org,,
Mario Bros Arcade / GBA,Freezie Sound,StarlightChaos,Freezie.org,,
Mario Bros Arcade / GBA,Level Theme,StarlightChaos,Classic Theme.org,,
Mario Bros Arcade / GBA,Next Level,StarlightChaos,Next Level (Original).org,,
Mario Bros Arcade / GBA,Next Level,StarlightChaos,Next Level.org,,
Mario Bros Arcade / GBA / Mozart,Intro,StarlightChaos,Classic Intro (Original).org,,
Mario Bros Arcade / GBA / Mozart,Intro,StarlightChaos,Classic Intro.org,,
Mario Forever,Sirens,Dredged Crusader,Sirens.org,,
Mario Kart 64,Koopa Troopa Beach,StarlightChaos,koopabeach.org,,
Mario Kart 64,Rainbow Road,2dbro,Mario Kart 64 - Rainbow Road.org,,
Mario Kart 64,Rainbow Road,2dbro,Mario_Kart_64_-_Rainbow_Road.org,,
Mario Kart 64,Select,2dbro,Mario Kart 64 - Select.org,,
Mario Kart 64,Toad's Turnpike,2dbro,hot damn!.org,,
Mario Kart 64,You Lose / What a Pity,2dbro,you lose.org,,
Mario Land,Muda Kingdom,Uncredited,muda kingd.org,,
Mario Paint,Creative Exercise,2dbro,Mario Paint - Creative Exercise.org,,
Mario Paint,Data Robot,2dbro,DATA ROBOT.org,,
Mario Paint,Mysterious,2dbro,Mysterious.org,,
Mega Man,Bomb Man,2dbro,Mega Man - Bomb Man.org,,
Mega Man,Elec Man,2dbro,Mega Man - Elec Man.org,,
Mega Man,Ice Man,2dbro,Mega Man - Ice Man.org,,
Mega Man,Ice Man Stage,2dbro,vanilla iceman.org,,
Mega Man,Wily Boss 1,rde,WilyBoss1 MegaMan.org,,
Mega Man 10,Chill Man,Dredged Crusader,Chill_Man.org,,
Mega Man 10,Sheep Man Stage,RSK,Mega Man 10 - Sheep Man.org,,
Mega Man 2,Boss,Mr. Cavan,MM2.org,,
Mega Man 2,Ending,2dbro,the end mega man.org,,
Mega Man 2,Flash Man Stage,Tpcool,MM2 - FlashMan.org,,
Mega Man 2,Game Over / Password,2dbro,youre dead.org,,
Mega Man 2,Password / Game Over,2dbro,Mega Man 2 - Password (1 wait time).org,,
Mega Man 2,Password / Game Over,2dbro,Mega Man 2 - Password.org,,
Mega Man 2,Stage Select,StarlightChaos,mm2fs.org,,
Mega Man 2,Wily Stage,Tpcool,overratedSongImproved.org,,
Mega Man 2,Wily Stage 1,Evil_Nazgul0616,WilyStage1.org,,
Mega Man 2,Wily Stage 1,SKaR_271,the most overrated org in existence.org,,
Mega Man 2,Wood Man Stage,StarlightChaos,2 - wood man (mega man 2)_1.org,,
Mega Man 2,Wood Man Stage,StarlightChaos,mm2wood.org,,
Mega Man 2 Game Boy,Air Man,2dbro,d.org,,
Mega Man 2 Game Boy,Get Weapon,2dbro,you got big gun.org,,
Mega Man 3,Dr. Wily's Castle 2,Mr. Cavan,MM3.org,,
Mega Man 3,Snake Man Stage,RSK,Mega Man 3 - Snake Man.org,,
